group,skill,details
communication,presentations,
communication,dashboard design,Shiny
communication,data analysis reports,"Rmarkdown, Jupyter"
communication,data visualization,"plotly, ggplot2, leaflet"
communication,peer-reviewed publications,"journal, book chapter, conference"
programming languages,R,
programming languages,Python,
programming languages,SQL,
programming languages,Matlab,
programming languages,C++,
software development,source control,"Git, SVN"
software development,agile development,Jira
software development,CI/CD,Azure DevOps
software development,automated testing,
cloud computing,Azure,
cloud computing,AWS,
cloud computing,high-performance computing,Azure Batch
cloud computing,NoSQL,"Azure Table/Blob, AWS S3"
cloud computing,containers,"Docker, Azure ACI, Azure ACR"
numerical methods,optimization,"stochastic, genetic, multi-start"
numerical methods,differential equations,
statistics,machine learning,
statistics,data analysis,
statistics,surrogate models,
statistics,cross-validation,
statistics,uncertainty quantification,
statistics,Monte Carlo simulation,
statistics,experimental design,
statistics,survey methodology,
